,type,feature_extractor,epoch,dataset,split,metric,value
258,trained,unfrozen,3999,DemonAttack-v5,train,precision,0
259,trained,unfrozen,3999,DemonAttack-v5,train,recall,0
260,trained,unfrozen,3999,DemonAttack-v5,train,f1score,0
261,trained,unfrozen,3999,DemonAttack-v5,train,specificity,0
262,trained,unfrozen,3999,DemonAttack-v5,train,auc,0
263,trained,unfrozen,3999,DemonAttack-v5,train,iou,0
264,trained,unfrozen,3999,DemonAttack-v5,validation,loss,0.25043784228848737
265,trained,unfrozen,3999,DemonAttack-v5,validation,accuracy,0
266,trained,unfrozen,3999,DemonAttack-v5,validation,precision,0
267,trained,unfrozen,3999,DemonAttack-v5,validation,recall,0
268,trained,unfrozen,3999,DemonAttack-v5,validation,f1score,0
269,trained,unfrozen,3999,DemonAttack-v5,validation,specificity,0
270,trained,unfrozen,3999,DemonAttack-v5,validation,auc,0
271,trained,unfrozen,3999,DemonAttack-v5,validation,iou,0
272,trained,unfrozen,3999,Kangaroo-v5,train,loss,0.18802333639209284
273,trained,unfrozen,3999,Kangaroo-v5,train,accuracy,0
274,trained,unfrozen,3999,Kangaroo-v5,train,precision,0
275,trained,unfrozen,3999,Kangaroo-v5,train,recall,0
276,trained,unfrozen,3999,Kangaroo-v5,train,f1score,0
277,trained,unfrozen,3999,Kangaroo-v5,train,specificity,0
278,trained,unfrozen,3999,Kangaroo-v5,train,auc,0
279,trained,unfrozen,3999,Kangaroo-v5,train,iou,0
280,trained,unfrozen,3999,Kangaroo-v5,validation,loss,0.18799437559209764
281,trained,unfrozen,3999,Kangaroo-v5,validation,accuracy,0
282,trained,unfrozen,3999,Kangaroo-v5,validation,precision,0
283,trained,unfrozen,3999,Kangaroo-v5,validation,recall,0
284,trained,unfrozen,3999,Kangaroo-v5,validation,f1score,0
285,trained,unfrozen,3999,Kangaroo-v5,validation,specificity,0
286,trained,unfrozen,3999,Kangaroo-v5,validation,auc,0
287,trained,unfrozen,3999,Kangaroo-v5,validation,iou,0
288,trained,unfrozen,3999,Phoenix-v5,train,loss,0.35571226618977875
289,trained,unfrozen,3999,Phoenix-v5,train,accuracy,0
290,trained,unfrozen,3999,Phoenix-v5,train,precision,0
291,trained,unfrozen,3999,Phoenix-v5,train,recall,0
292,trained,unfrozen,3999,Phoenix-v5,train,f1score,0
293,trained,unfrozen,3999,Phoenix-v5,train,specificity,0
294,trained,unfrozen,3999,Phoenix-v5,train,auc,0
295,trained,unfrozen,3999,Phoenix-v5,train,iou,0
296,trained,unfrozen,3999,Phoenix-v5,validation,loss,0.35566565953195095
297,trained,unfrozen,3999,Phoenix-v5,validation,accuracy,0
298,trained,unfrozen,3999,Phoenix-v5,validation,precision,0
299,trained,unfrozen,3999,Phoenix-v5,validation,recall,0
300,trained,unfrozen,3999,Phoenix-v5,validation,f1score,0
301,trained,unfrozen,3999,Phoenix-v5,validation,specificity,0
302,trained,unfrozen,3999,Phoenix-v5,validation,auc,0
303,trained,unfrozen,3999,Phoenix-v5,validation,iou,0
304,trained,unfrozen,3999,Seaquest-v5,train,loss,0.12526807546086566
305,trained,unfrozen,3999,Seaquest-v5,train,accuracy,0
306,trained,unfrozen,3999,Seaquest-v5,train,precision,0
307,trained,unfrozen,3999,Seaquest-v5,train,recall,0
308,trained,unfrozen,3999,Seaquest-v5,train,f1score,0
309,trained,unfrozen,3999,Seaquest-v5,train,specificity,0
310,trained,unfrozen,3999,Seaquest-v5,train,auc,0
311,trained,unfrozen,3999,Seaquest-v5,train,iou,0
312,trained,unfrozen,3999,Seaquest-v5,validation,loss,0.12528969929553568
313,trained,unfrozen,3999,Seaquest-v5,validation,accuracy,0
314,trained,unfrozen,3999,Seaquest-v5,validation,precision,0
315,trained,unfrozen,3999,Seaquest-v5,validation,recall,0
316,trained,unfrozen,3999,Seaquest-v5,validation,f1score,0
317,trained,unfrozen,3999,Seaquest-v5,validation,specificity,0
318,trained,unfrozen,3999,Seaquest-v5,validation,auc,0
319,trained,unfrozen,3999,Seaquest-v5,validation,iou,0
320,trained,unfrozen,4999,DemonAttack-v5,train,loss,0.23917640269958995
321,trained,unfrozen,4999,DemonAttack-v5,train,accuracy,0
322,trained,unfrozen,4999,DemonAttack-v5,train,precision,0
323,trained,unfrozen,4999,DemonAttack-v5,train,recall,0
324,trained,unfrozen,4999,DemonAttack-v5,train,f1score,0
325,trained,unfrozen,4999,DemonAttack-v5,train,specificity,0
326,trained,unfrozen,4999,DemonAttack-v5,train,auc,0
327,trained,unfrozen,4999,DemonAttack-v5,train,iou,0
328,trained,unfrozen,4999,DemonAttack-v5,validation,loss,0.23916006591958058
329,trained,unfrozen,4999,DemonAttack-v5,validation,accuracy,0
330,trained,unfrozen,4999,DemonAttack-v5,validation,precision,0
331,trained,unfrozen,4999,DemonAttack-v5,validation,recall,0
332,trained,unfrozen,4999,DemonAttack-v5,validation,f1score,0
333,trained,unfrozen,4999,DemonAttack-v5,validation,specificity,0
334,trained,unfrozen,4999,DemonAttack-v5,validation,auc,0
335,trained,unfrozen,4999,DemonAttack-v5,validation,iou,0
