,type,feature_extractor,epoch,dataset,split,metric,value
231,trained,unfrozen,4999,Qbert-v5,train,iou,0
232,trained,unfrozen,4999,Qbert-v5,validation,loss,0.22973507253023295
233,trained,unfrozen,4999,Qbert-v5,validation,accuracy,0
234,trained,unfrozen,4999,Qbert-v5,validation,precision,0
235,trained,unfrozen,4999,Qbert-v5,validation,recall,0
236,trained,unfrozen,4999,Qbert-v5,validation,f1score,0
237,trained,unfrozen,4999,Qbert-v5,validation,specificity,0
238,trained,unfrozen,4999,Qbert-v5,validation,auc,0
239,trained,unfrozen,4999,Qbert-v5,validation,iou,0
240,trained,unfrozen,5999,Phoenix-v5,train,loss,0.10756795267342578
241,trained,unfrozen,5999,Phoenix-v5,train,accuracy,0
242,trained,unfrozen,5999,Phoenix-v5,train,precision,0
243,trained,unfrozen,5999,Phoenix-v5,train,recall,0
244,trained,unfrozen,5999,Phoenix-v5,train,f1score,0
245,trained,unfrozen,5999,Phoenix-v5,train,specificity,0
246,trained,unfrozen,5999,Phoenix-v5,train,auc,0
247,trained,unfrozen,5999,Phoenix-v5,train,iou,0
248,trained,unfrozen,5999,Phoenix-v5,validation,loss,0.10767903737723827
249,trained,unfrozen,5999,Phoenix-v5,validation,accuracy,0
250,trained,unfrozen,5999,Phoenix-v5,validation,precision,0
251,trained,unfrozen,5999,Phoenix-v5,validation,recall,0
252,trained,unfrozen,5999,Phoenix-v5,validation,f1score,0
253,trained,unfrozen,5999,Phoenix-v5,validation,specificity,0
254,trained,unfrozen,5999,Phoenix-v5,validation,auc,0
255,trained,unfrozen,5999,Phoenix-v5,validation,iou,0
256,trained,unfrozen,5999,DemonAttack-v5,train,loss,0.06525865239230834
257,trained,unfrozen,5999,DemonAttack-v5,train,accuracy,0
258,trained,unfrozen,5999,DemonAttack-v5,train,precision,0
259,trained,unfrozen,5999,DemonAttack-v5,train,recall,0
260,trained,unfrozen,5999,DemonAttack-v5,train,f1score,0
261,trained,unfrozen,5999,DemonAttack-v5,train,specificity,0
262,trained,unfrozen,5999,DemonAttack-v5,train,auc,0
263,trained,unfrozen,5999,DemonAttack-v5,train,iou,0
